LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/10/2012;""19"";""15"";""23"";""15"";""81"";""10"";""3"";""6"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;2/10/2012;""20"";""16"";""26"";""16"";""78"";""10"";""4"";""9"";""0"";""1016"";""0"";""0"";"""""
"Trento;3/10/2012;""20"";""16"";""24"";""14"";""70"";""10"";""6"";""11"";""0"";""1017"";""0"";""0"";"""""
"Trento;4/10/2012;""18"";""14"";""23"";""13"";""74"";""10"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
"Trento;5/10/2012;""19"";""13"";""24"";""13"";""71"";""10"";""6"";""9"";""0"";""1020"";""0"";""0"";"""""
"Trento;6/10/2012;""19"";""16"";""23"";""14"";""72"";""10"";""5"";""7"";""0"";""1019"";""0"";""0"";"""""
"Trento;7/10/2012;""20"";""15"";""24"";""14"";""69"";""10"";""8"";""19"";""41"";""1013"";""0"";""0"";"""""
"Trento;8/10/2012;""17"";""10"";""22"";""8"";""59"";""10"";""5"";""11"";""0"";""1018"";""0"";""0"";"""""
"Trento;9/10/2012;""17"";""14"";""22"";""13"";""78"";""10"";""5"";""9"";""0"";""1011"";""0"";""0"";""pioggia """
"Trento;10/10/2012;""16"";""12"";""21"";""13"";""83"";""10"";""7"";""17"";""0"";""1011"";""0"";""0"";""pioggia """
"Trento;11/10/2012;""16"";""10"";""20"";""10"";""70"";""10"";""9"";""17"";""0"";""1012"";""0"";""0"";"""""
"Trento;12/10/2012;""17"";""12"";""22"";""12"";""72"";""10"";""9"";""43"";""0"";""1010"";""0"";""0"";""pioggia """
"Trento;13/10/2012;""13"";""9"";""17"";""10"";""82"";""10"";""5"";""7"";""0"";""1013"";""0"";""0"";""pioggia """
"Trento;14/10/2012;""14"";""11"";""17"";""11"";""87"";""10"";""4"";""11"";""0"";""1007"";""0"";""0"";""pioggia """
"Trento;15/10/2012;""11"";""8"";""13"";""10"";""94"";""8"";""8"";""33"";""52"";""1006"";""0"";""0"";""pioggia """
"Trento;16/10/2012;""11"";""7"";""16"";""6"";""74"";""10"";""5"";""11"";""0"";""1012"";""0"";""0"";"""""
"Trento;17/10/2012;""11"";""6"";""15"";""7"";""77"";""10"";""3"";""6"";""0"";""1023"";""0"";""0"";"""""
"Trento;18/10/2012;""15"";""11"";""20"";""10"";""75"";""10"";""4"";""7"";""0"";""1023"";""0"";""0"";"""""
"Trento;19/10/2012;""13"";""7"";""20"";""9"";""81"";""0"";""3"";""6"";""0"";""1024"";""0"";""0"";"""""
"Trento;20/10/2012;""12"";""5"";""20"";""8"";""79"";""0"";""3"";""6"";""0"";""1022"";""0"";""0"";"""""
"Trento;21/10/2012;""13"";""5"";""21"";""9"";""78"";""0"";""4"";""6"";""0"";""1019"";""0"";""0"";"""""
"Trento;22/10/2012;""14"";""7"";""22"";""10"";""78"";""0"";""4"";""6"";""0"";""1020"";""0"";""0"";"""""
"Trento;23/10/2012;""14"";""0"";""22"";""10"";""78"";""0"";""3"";""6"";""0"";""1020"";""0"";""0"";"""""
"Trento;24/10/2012;""13"";""7"";""21"";""9"";""76"";""10"";""4"";""7"";""0"";""1017"";""0"";""0"";""nebbia """
"Trento;25/10/2012;""12"";""5"";""19"";""9"";""81"";""0"";""3"";""6"";""0"";""1013"";""0"";""0"";"""""
"Trento;26/10/2012;""11"";""7"";""12"";""10"";""94"";""7"";""2"";""4"";""0"";""1007"";""0"";""0"";""pioggia """
"Trento;27/10/2012;""12"";""11"";""14"";""10"";""88"";""6"";""7"";""17"";""37"";""988"";""0"";""0"";""pioggia """
"Trento;28/10/2012;""5"";""4"";""8"";""2"";""78"";""10"";""8"";""20"";""48"";""1002"";""0"";""0"";""pioggia """
"Trento;29/10/2012;""8"";""2"";""12"";""2"";""45"";""10"";""14"";""32"";""43"";""1010"";""0"";""0"";"""""
"Trento;30/10/2012;""3"";""-2"";""10"";""0"";""68"";""10"";""3"";""4"";""0"";""1012"";""0"";""0"";"""""
"Trento;31/10/2012;""5"";""1"";""8"";""3"";""75"";""10"";""3"";""6"";""0"";""1009"";""0"";""0"";""pioggia """
